timestamp,airport,queue_size,active_drivers,request_volume,completed_trips,completion_rate,average_eta_minutes,passenger_wait_time_minutes,driver_cancellation_rate,surge_multiplier
2026-09-01 06:00,SFO,41,142,133,126,0.95,7.3,4.7,0.049,1.0
2026-09-01 07:00,SFO,93,114,188,154,0.821,25.1,14.1,0.122,1.5
2026-09-01 08:00,SFO,96,120,192,157,0.822,25.3,14.7,0.107,1.5
2026-09-01 09:00,SFO,88,120,189,157,0.835,24.5,13.4,0.106,1.5
2026-09-01 10:00,SFO,65,128,167,147,0.883,17.7,10.9,0.086,1.4
2026-09-01 11:00,SFO,67,129,165,146,0.887,16.1,8.2,0.078,1.4
2026-09-01 12:00,SFO,53,132,158,142,0.905,14.1,8.6,0.074,1.3
2026-09-01 13:00,SFO,61,126,151,138,0.917,15.6,9.0,0.077,1.3
2026-09-01 14:00,SFO,55,125,147,135,0.92,15.1,8.6,0.075,1.3
2026-09-01 15:00,SFO,44,134,151,139,0.922,12.4,7.8,0.061,1.2
2026-09-01 16:00,SFO,76,125,170,149,0.877,19.5,10.2,0.093,1.5
2026-09-01 17:00,SFO,85,119,174,148,0.856,21.3,12.9,0.099,1.5
2026-09-01 18:00,SFO,107,109,181,148,0.82,25.0,14.5,0.123,1.5
2026-09-01 19:00,SFO,84,118,175,148,0.848,21.5,12.1,0.099,1.5
2026-09-01 20:00,SFO,62,138,171,153,0.898,16.1,8.6,0.076,1.3
2026-09-01 21:00,SFO,48,134,125,118,0.95,8.3,5.6,0.05,1.0
2026-09-01 22:00,SFO,45,145,146,137,0.943,8.8,5.1,0.06,1.1
2026-09-01 06:00,LAX,59,143,161,150,0.932,11.4,7.2,0.074,1.2
2026-09-01 07:00,LAX,91,130,203,170,0.838,23.7,13.7,0.104,1.5
2026-09-01 08:00,LAX,99,129,198,166,0.839,23.0,13.6,0.105,1.5
2026-09-01 09:00,LAX,95,129,190,160,0.847,20.6,12.5,0.099,1.5
2026-09-01 10:00,LAX,76,141,187,166,0.892,17.0,9.7,0.085,1.4
2026-09-01 11:00,LAX,73,126,171,149,0.873,17.3,8.8,0.084,1.5
2026-09-01 12:00,LAX,62,139,169,152,0.905,14.2,8.9,0.071,1.3
2026-09-01 13:00,LAX,70,143,173,157,0.91,14.5,8.5,0.069,1.3
2026-09-01 14:00,LAX,65,143,167,154,0.928,14.1,7.1,0.074,1.3
2026-09-01 15:00,LAX,53,145,164,153,0.933,12.6,6.7,0.067,1.2
2026-09-01 16:00,LAX,72,134,166,148,0.896,15.6,9.8,0.072,1.3
2026-09-01 17:00,LAX,80,139,196,170,0.872,19.7,10.8,0.091,1.5
2026-09-01 18:00,LAX,104,115,188,154,0.821,26.1,14.4,0.118,1.5
2026-09-01 19:00,LAX,99,131,212,174,0.824,26.1,14.6,0.118,1.5
2026-09-01 20:00,LAX,76,135,176,156,0.89,18.1,9.3,0.086,1.4
2026-09-01 21:00,LAX,52,140,145,138,0.954,11.3,7.3,0.057,1.1
2026-09-01 22:00,LAX,44,149,142,134,0.947,8.5,5.7,0.055,1.0
2026-09-01 06:00,JFK,40,122,132,124,0.94,12.0,6.4,0.06,1.2
2026-09-01 07:00,JFK,89,112,176,145,0.828,23.9,13.4,0.106,1.4
2026-09-01 08:00,JFK,78,114,173,144,0.835,22.1,13.0,0.101,1.4
2026-09-01 09:00,JFK,103,112,189,150,0.798,26.2,15.5,0.126,1.4
2026-09-01 10:00,JFK,70,112,149,131,0.882,17.2,10.1,0.09,1.4
2026-09-01 11:00,JFK,63,120,156,139,0.895,18.0,10.4,0.078,1.4
2026-09-01 12:00,JFK,47,129,148,135,0.918,13.5,8.1,0.066,1.2
2026-09-01 13:00,JFK,44,132,155,143,0.925,15.0,7.7,0.075,1.3
2026-09-01 14:00,JFK,50,125,144,133,0.93,12.4,7.8,0.067,1.2
2026-09-01 15:00,JFK,41,133,148,137,0.928,12.7,7.3,0.064,1.2
2026-09-01 16:00,JFK,60,125,165,144,0.876,18.3,9.3,0.093,1.4
2026-09-01 17:00,JFK,80,124,184,155,0.844,22.5,12.1,0.108,1.4
2026-09-01 18:00,JFK,75,119,178,149,0.84,21.2,11.8,0.11,1.4
2026-09-01 19:00,JFK,82,109,171,141,0.828,23.5,12.3,0.108,1.4
2026-09-01 20:00,JFK,64,131,170,151,0.893,18.1,11.0,0.085,1.4
2026-09-01 21:00,JFK,44,119,128,119,0.93,10.8,6.0,0.056,1.1
2026-09-01 22:00,JFK,42,133,140,130,0.935,9.9,5.0,0.067,1.1
